customer_name,type,node
A.D. Gothong Manufacturing Corporation,CC,Mandaue
"AC Energy Philippines, Inc.",CC,Lapu-Lapu
"AC Energy Philippines, Inc.",CC,Sta. Barbara 
"Air Liquide Pipeline Utilities Services., Inc.",CC,Calung-Calung
"Aklan Electric Cooperative, Inc.",DU,Nabas
"Alturas Group of Companies, Inc.",CC,Corella
Alturas Mall,CC,Corella
Amlan Hydroelectric Power Corporation,DU,Amlan
"Anilson Packaging Solutions, Inc.",CC,Cebu
"Anilson Packaging Solutions, Inc. (Naga)",CC,Colon
"Antique Electric Cooperative, Inc.",DU,Nabas
"Antique Electric Cooperative, Inc.",DU,San Jose
"Antique Electric Cooperative, Inc.",DU,Sta. Barbara 
Apo Cement Corporation,CC,Colon
Asian Grains Corporation,CC,Colon
"Asian I-Office Properties, Inc. (Ebloc4)",CC,Cebu
"Asian I-Office Properties, Inc. (Ebloc1)",CC,Cebu
"Asian I-Office Properties, Inc. (Ebloc2)",CC,Cebu
"Asociacion Benevola De Cebu, Inc.",CC,Quiot
Atomed Cebu Inc.,CC,Lapu-Lapu
"Ayala Center Cebu Holding, Inc.",CC,Cebu
"Ayala Center Cebu Holding, Inc. M2 ",CC,Cebu
Balamban Enerzone Corporation,DU,Calung-Calung
"Biliran Electric Cooperative, Inc.",DU,Ormoc
"Bohol Enterprises, Inc.",CC,Ubay
"Bohol Hennan Resort, Inc.",CC,Corella
"Bohol I Electric Cooperative, Inc.",DU,Corella
"Bohol I Electric Cooperative, Inc.",DU,Ubay
"Bohol II Electric Cooperative, Inc.",DU,Ubay
"Bohol Light Company, Inc.",DU,Corella
Bohol Quality Mall,CC,Corella
Calveston International Inc.,CC,Nabas
"Capiz Electric Cooperative, Inc.",DU,Panit-An
Carmen Copper Corporation,CC,Toledo
Cebu Central Realty Corp. / Augusto W. Go,CC,Quiot
Cebu Energy Development Corporation,CC,Daanglungsod
"Cebu Holdings, Inc.",CC,Cebu
"Cebu Holdings, Inc. Ph 2-B Mall Expansion, Ayala Center, Cebu",CC,Cebu
"Cebu I Electric Cooperative, Inc.",DU,Naga
"Cebu I Electric Cooperative, Inc.",DU,Samboan
"Cebu II Electric Cooperative, Inc.",DU,Compostela
"Cebu II Electric Cooperative, Inc.",DU,Daan Bantayan
"Cebu III Electric Cooperative, Inc.",DU,Calung-Calung
"Cebu Insular Hotel Co., Inc.",CC,Cebu
"Cebu Manila Water Development, Inc.",CC,Compostela
"Cebu Mitsumi, Inc.",CC,Compostela
Cebu Private Power Corporation,DU,Quiot
Cebu Sherilin Agro Industrial Corp.,CC,Colon
Cebu Sherilin Trading Corp. (Tingub Plant),CC,Colon
Cebu Toyo Corporation,CC,Lapu-Lapu
"Central Azucarera de Bais, Inc.",CC,Amlan
Central Azucarera de San Antonio,CC,Dingle
"Central Block Developers, Inc. (Central Bloc)",CC,Cebu
"Central Negros Electric Cooperative, Inc.",DU,Bacolod
"Central Negros Power Reliability, Inc.",DU,Bacolod
Choa Manuel G.,CC,Cebu
Citymall Commercial Centers Inc.,CC,Cadiz
"Coca-Cola FEMSA Philippines, Inc. – Cebu",CC,Mandaue
"Communities Iloilo, Inc. (Vistamall Iloilo)",CC,Sta. Barbara 
"Cosmo Solar Energy, Inc.",CC,Sta. Barbara 
"Don Orestes Romualdez Cooperative, Inc.",CC,Ormoc
"DRAKA Philippines, Incorporated",CC,Lapu-Lapu
Dumaguete Coconut Mills,CC,Amlan
Dynasty Management & Development Corporation,CC,Bacolod
Dynasty Management & Development Corporation - Gaisano Grand Antique,CC,San Jose
Dynasty Management & Development Corporation - Gaisano Grand Minglanilla,CC,Colon
Dynasty Management & Development Corporation - Gaisano Fiesta Mall Tabunok,CC,Colon
Dynasty Management and Development Corp. (Gaisano Grand Mandaue North),CC,Mandaue
Dynasty Management and Development Corporation – Gaisano Grand Mambaling,CC,Quiot
East Asia Utilities Corporation,CC,Lapu-Lapu
"Eastern Samar Electric Cooperative, Inc.",DU,Paranas
Everjust Realty Development Corporation,CC,Mandaue
Far East Noble House Inc. (Gaisano Grand Mall Calbayog),CC,Calbayog
Fareast Noble House Inc. – Gaisano Grand Liloan,CC,Mandaue
Fareast Noble House Inc. – Gaisano Grand Mall Mactan,CC,Lapu-Lapu
First Farmers Holding Corporation,CC,Bacolod
First Soleq Energy Corp.,CC,Ormoc
First Toledo Solar Energy Corporation,CC,Calung-Calung
"Funai Electric Cebu, Inc.",CC,Lapu-Lapu
General Milling Corporation,CC,Lapu-Lapu
